C1,Data Type,Value in Example (Fixed Value),Description
"entry.resource.hospitalization.dischargeDisposition.coding.code","String (Code)","home","Where the patient went after discharge."
"entry.resource.serviceCategory.coding.code","String (Code)","408443003","Broad category of the appointment service."
"entry.resource.appointmentType.coding.code","String (Code)","185389009","Code defining a follow-up visit."
"entry.resource.reasonReference.reference","String (Reference)",UUID,"Condition acting as the reason for the appointment/medication."
"entry.resource.description","String","Discussion on the results...","Text description of the appointment or care plan."
"entry.resource.start","Instant",DATE,"Start time of the scheduled appointment."
"entry.resource.end","Instant",DATE,"End time of the scheduled appointment."
"entry.resource.participant.actor.reference","String (Reference)",UUID,"Entities involved in the appointment."
"entry.resource.participant.status","String (Code)","accepted","Status of the participant's acceptance."
"entry.resource.clinicalStatus.coding.code","String (Code)","recurrence / active","Clinical status of the Condition."
"entry.resource.code.coding.code","String (Code)","440700005 / 22298006 / 36969009","SNOMED/LOINC code for the Condition, Procedure, or Lab Test."
"entry.resource.performedDateTime","DateTime","2019-05-12","When a procedure was performed."
"entry.resource.complication.coding.code","String (Code)","131148009","Code for any complications during a procedure (e.g., Bleeding)."
"entry.resource.intent","String (Code)","order / plan","Intent of the MedicationRequest or CarePlan."
"entry.resource.medicationCodeableConcept.coding.code","String (Code)","765082007","Code for the requested medication (e.g., Nitroglycerin)."
"entry.resource.dosageInstruction.text","String","One tablet at once","Human-readable dosage instructions."
"entry.resource.dosageInstruction.timing.repeat.frequency","Number","1","How often the medication is taken."
"entry.resource.dosageInstruction.timing.repeat.periodUnit","String (Code)","d","The unit of time for the frequency (e.g., days)."
"entry.resource.dosageInstruction.route.coding.code","String (Code)","26643006","Code for the route of administration (e.g., Oral Route)."
"entry.resource.dosageInstruction.method.coding.code","String (Code)","421521009","Code for how the medication is administered (e.g., Swallow)."
"entry.resource.category.coding.code","String (Code)","736368003","Code defining the category of the CarePlan or Report."
"entry.resource.activity.outcomeReference.reference","String (Reference)",UUID,"Resulting actions tied to the CarePlan (e.g., linking the Appointment)."
"entry.resource.valueQuantity.value","Number","156 / 146","The numerical value of the lab observation."
"entry.resource.valueQuantity.unit","String","mg/dL","The human-readable unit of measure."
"entry.resource.referenceRange.high.value","Number","200 / 150","The upper bound of the normal/reference range."
"entry.resource.referenceRange.low.value","Number","40","The lower bound of the normal/reference range."
"entry.resource.content.attachment.contentType","String (MimeType)","application/pdf","The mime type of the attached document."
"entry.resource.content.attachment.data","Base64 String","<DATA_ENCRYPTED>","The actual base64 encoded binary data of the attachment."
"signature.type.system","URI","urn:iso-astm:E1762-95:2013","Standard system defining the type of signature."
"signature.type.code","String (Code)","1.2.840.10065.1.12.1.1","Code identifying it as an Author's Signature."
"signature.when","Instant",DATE,"When the signature was applied."
"signature.sigFormat","String (MimeType)","image/jpeg","The format of the signature data."
